"","Barri","Any","all","violence","property_vh","property_personal","damage","other","TOTAL.x","sample.r","TOTAL.y","violence.r","violence.r.w","property_personal.r","property_personal.r.w","property_vh.r","property_vh.r.w","damage.r","damage.r.w","sample.f","violence.f","violence.f.w","violence.f.w2","property_personal.f","property_personal.f.w","property_personal.f.w2","property_vh.f","property_vh.f.w","property_vh.f.w2","sample.p","violence.p","violence.p.w","violence.p.w2","property_personal.p","property_personal.p.w","property_personal.p.w2","property_vh.p","property_vh.p.w","property_vh.p.w2"
"1","el raval","2014",261.569041555376,34.0807917676046,5.17630494647701,185.705116259809,7.59881566142825,29.0080129200571,48297,412,48297,1.42866016522765,154.353082028313,2.87802555024122,331.514399306225,1.92558544008945,227.384197093436,1.38724972565584,135.758502826717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","el raval","2015",257.365881938837,34.2878439654637,4.8864318694743,187.21659730418,6.99836428763691,23.9766445120815,48297,202,48297,0.890324450794045,202.495880872966,1.90488022030354,436.505872652248,1.26301840694039,295.344024082222,NA,NA,126,0.559040934219517,19687.8457998805,8838.62010697061,1.22160796736857,43021.5889701093,19314.0217152321,0.828208791436321,29167.1789627859,13094.2520103268,22,0.124231318715448,46.5339123820784,35.7848696216019,0.186346978073172,64.8166621344645,58.099093848491,0.144936538501356,41.1155484412681,35.745620574428
"3","el raval","2016",267.262976996501,32.4657846243038,6.14945027641468,198.293889889641,7.43317390314098,22.9206783030002,48297,33,48297,0.020705219785908,24.35681319643,0.248462637430896,315.862486496413,0.165641758287264,225.641307419836,NA,NA,33,0.0414104395718161,1496.59202317207,579.675299592463,0.351988736360436,12721.0321969626,4927.24004653593,0.186346978073172,6734.66410427433,2608.53884816608,3,0,0,0,0.0621156593577241,51.4481965859602,39.9665935972923,0,0,0
"4","el raval","2017",310.516181129263,34.6812431413959,8.46843489243638,232.768080833178,9.69004285980496,24.9083794024474,48297,94,48297,0.331283516574528,157.006705315434,0.745387912292689,386.011724487079,0.496925274861793,256.399656697218,NA,NA,93,0.517630494647701,21322.9169707939,6493.86302846553,0.766093132078597,31557.917116775,9610.91728212899,0.559040934219517,23028.7503284574,7013.37207074277,13,0.020705219785908,11.1038276905372,11.1038276905372,0.186346978073172,87.3978359149569,62.9350397218033,0.0621156593577241,27.2740386602522,24.5045767640908
"5","el raval","2018",345.280245149802,39.2570967140816,7.4745843427128,256.496262707829,10.3111994533822,31.741101931797,48297,162,48297,0.973145329937677,292.293185260188,1.40795494544175,419.240020318088,1.09737664865313,346.531181503898,NA,NA,151,0.703977472720873,34343.9829949914,12432.69748467,1.47007060479947,71718.3174307173,25962.3976885755,0.517630494647701,25252.9286727878,9141.68932696321,36,0.165641758287264,52.5218601095911,38.118932792796,0.269167857216804,89.4448163269551,73.9626720564964,0.124231318715448,44.6673221859418,26.1022151101863
"6","el raval","2019",325.175476737686,47.1457854525126,6.54284945234694,228.212932480278,10.5389568710272,32.7349524815206,48297,42,48297,0.351988736360436,429.307090911102,0.579746154005425,812.802063481892,0.351988736360436,520.082555643031,NA,NA,65,0.351988736360436,34832.8348604884,9013.25276341995,0.828208791436321,81959.6114364434,21207.6535609881,0.10352609892954,10244.9514295554,2650.95669512351,4,0.0621156593577241,100.834567254197,77.6368795065438,0.020705219785908,58.348938867873,19.449646289291,0,0,0
"7","el raval","2020",188.09060675371,33.9541873577962,7.14597055361783,99.6104986261879,8.20703890854896,39.1729113075595,48297,275,48297,2.33968983580761,415.132322614889,5.13489450690519,920.680212380186,2.44321593473715,438.554249580466,NA,NA,344,1.18019752779676,91158.3213190398,30732.4163375757,4.1410439571816,319853.759014175,107833.039780967,1.30442884651221,100753.934089465,33967.4075310047,49,0.165641758287264,28.2442512831217,11.2597819746472,0.559040934219517,158.86911199217,132.36400873176,0.269167857216804,47.7807970788459,34.282257882922
"8","el barri gòtic","2014",695.307612095933,55.2137643378519,7.09071949947862,577.893639207508,7.71637122002086,47.393117831074,19180,140,19180,2.08550573514077,293.828476605294,2.34619395203337,344.069280593181,2.18978102189781,335.315935668529,1.30344108446298,159.128433408154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","el barri gòtic","2015",640.928050052138,47.18456725756,7.61209593326382,537.747653806048,8.34202294056309,40.0417101147028,19180,56,19180,1.25130344108446,392.631755786961,1.6162669447341,531.784913925846,0.886339937434828,291.081818819476,NA,NA,65,0.469238790406674,9017.89181559695,3725.98098891631,1.87695516162669,36071.5672623878,14903.9239556652,1.04275286757039,20039.7595902155,8279.95775314736,13,0.104275286757039,30.0564584267772,17.369868404319,0.260688216892596,67.1297545277553,45.4712092633333,0.312825860271116,88.5046441968251,50.2168911830205
"10","el barri gòtic","2016",684.51511991658,43.8998957247132,9.07194994786236,592.022940563087,8.70698644421272,30.8133472367049,19180,9,19180,0.208550573514077,496.413841133023,0.312825860271116,671.563181211815,0.312825860271116,933.299283350127,NA,NA,24,0.0521376433785193,1371.72203538328,629.49795184459,1.04275286757039,27434.4407076655,12589.9590368918,0.156412930135558,4115.16610614983,1888.49385553377,6,0,0,0,0.260688216892596,262.261708526604,208.849880651113,0.0521376433785193,171.273090695904,171.273090695904
"11","el barri gòtic","2017",684.619395203337,42.5964546402503,8.34202294056309,596.663190823775,8.39416058394161,28.6235662148071,19180,36,19180,0.625651720542232,297.789443565729,0.782064650677789,419.380459843347,0.156412930135558,86.9868796745902,NA,NA,47,0.521376433785193,10465.6958335091,4135.40326200484,1.51199165797706,30350.5179171762,11992.669459814,0.364963503649635,7325.98708345634,2894.78228340338,10,0,0,0,0.260688216892596,104.296382144546,62.0811282242062,0.260688216892596,97.9133210301527,57.8507330166828
"12","el barri gòtic","2018",900.156412930136,58.4462982273201,16.8404588112617,778.571428571429,10.2711157455683,36.0271115745568,19180,60,19180,0.886339937434828,271.165998221304,1.04275286757039,325.187265517241,0.782064650677789,276.537948052923,NA,NA,67,0.677789363920751,17435.1468117637,6508.40200384048,2.13764337851929,54987.7707140238,20526.4986274969,0.364963503649635,9388.15597556505,3504.52415591411,21,0.104275286757039,35.5804400219412,31.4306381324056,0.72992700729927,259.247261589736,175.774603111323,0.156412930135558,41.6012301498847,36.5538956877573
"13","el barri gòtic","2019",813.607924921794,70.281543274244,19.2909280500521,667.049009384776,13.9728884254432,43.0135557872784,19180,18,19180,0.312825860271116,195.769947104741,0.677789363920751,502.762854554042,0.521376433785193,404.823336236029,NA,NA,32,0.156412930135558,5899.42237752885,1299.88701220051,0.990615224191867,37363.008391016,8232.61774393656,0.469238790406674,17698.2671325865,3899.66103660153,4,0.0521376433785193,62.635483242086,62.635483242086,0.104275286757039,161.844380837792,66.5079429454552,0.0521376433785193,48.9148097145593,48.9148097145593
